NORAD,altitude_km,inclination_deg,eccentricity,mean_motion,TLE_LINE1,TLE_LINE2,cdm_event_count,cluster,alt_band
17138,1479.3005773798022,74.0547,0.0026842,12.48152041,1 08610U 76008D   25232.43454194 -.00000016  00000-0  67794-6 0  9991,2 08610  74.0547 125.1072 0026842 348.0425 185.5915 12.48152041258164,2,1,"(1450.0, 1500.0]"
21419,781.8075494781924,74.037,0.0039642,14.35100018,1 21419U 91041B   25232.45386839  .00000070  00000-0  33255-4 0  9991,2 21419  74.0370 234.7926 0039642 154.6600 205.6508 14.35100018788247,7,2,"(750.0, 800.0]"
28991,873.4904365241637,82.5234,0.0029674,14.07943434,1 28991U 88005F   25232.40863907  .00001626  00000-0  94481-3 0  9995,2 28991  82.5234 111.6892 0029674  50.9263 126.9112 14.07943434 23596,4,0,"(850.0, 900.0]"
48158,873.4904365241637,82.5234,0.0029674,14.07943434,1 28991U 88005F   25232.40863907  .00001626  00000-0  94481-3 0  9995,2 28991  82.5234 111.6892 0029674  50.9263 126.9112 14.07943434 23596,4,0,"(850.0, 900.0]"
58074,781.8075494781924,74.037,0.0039642,14.35100018,1 21419U 91041B   25232.45386839  .00000070  00000-0  33255-4 0  9991,2 21419  74.0370 234.7926 0039642 154.6600 205.6508 14.35100018788247,7,2,"(750.0, 800.0]"
8610,1479.3005773798022,74.0547,0.0026842,12.48152041,1 08610U 76008D   25232.43454194 -.00000016  00000-0  67794-6 0  9991,2 08610  74.0547 125.1072 0026842 348.0425 185.5915 12.48152041258164,2,1,"(1450.0, 1500.0]"
